stop_name,avg_delay,factor
14th Main HSR Layout,4.3968539325842695,1.455
8th Mile Dasarahalli,6.126624531835206,1.959
Agara Junction,5.9262406367041205,1.78
Allalasandra Gate,6.228169475655431,1.987
Anchepalya,5.6334878277153555,1.736
B Channasandra Bridge(Ramamurthy Nagara Ring Road),5.381956928838951,1.739
BEL Circle,6.1886797752808995,1.846
BHEL,6.3167368913857675,1.969
BPL,5.9470646067415736,1.827
BTM Layout 16th Main,4.74062734082397,1.434
BTM Layout Water Tank,4.715037453183521,1.447
BWSSB Quarters Nayandahalli,5.394503745318352,1.672
Babusabpalya,5.242289325842697,1.553
Bamboo Bazaar,5.7696441947565535,1.811
Banashankari Bus Station,6.308375468164794,2.019
Bellanduru Petrol Bunk,4.742008426966292,1.503
Bengaluru Dairy Circle,6.296582397003745,1.975
Bettahalasuru Cross,5.1054541198501875,1.646
Binnamangala,5.385744382022472,1.749
Bommanahalli,5.623361423220974,1.765
Byatarayanapura,6.679293071161048,2.052
CBI,6.320547752808989,1.947
CMTI,5.135468164794008,1.647
CSI Hospital,5.085791198501872,1.545
Canara Bank Hebbala,5.7762265917603,1.844
Central,6.514948501872659,2.076
Central Silk Board,5.948941947565543,1.879
Chamarajapet,6.223899812734082,1.832
Chikka Bommasandra Cross,4.8101076779026215,1.513
Chikkajala,4.899733146067415,1.575
Coles Park,5.843544007490636,1.843
Corporation,10.677214419475655,3.482
Cunningham Road,5.318609550561797,1.677
Deepanjalinagara,5.490060861423221,1.675
Devarabisanahalli Ring Road,4.960987827715356,1.511
Dodda Nekkundi Bridge/Rainbow Hospital,4.903220973782772,1.479
East End Jayanagara,4.885519662921348,1.521
Eco Space,5.017176966292135,1.511
Electronic City,5.716006554307116,1.815
GKVK GATE,5.457102059925094,1.701
Goraguntepalya,5.738871722846442,1.837
Govardhan Talkies,5.721750936329588,1.791
Hebbala,7.287977528089888,2.156
Hebbala Bridge,6.179929775280899,1.965
Hennur Junction,5.169559925093633,1.577
Hope Farm,5.843483146067416,1.788
Hosa Road,5.11308988764045,1.624
Hunasamaranahalli,5.396512172284645,1.669
ITC Factory,5.188904494382022,1.568
ITI Colony Gate,5.563478464419476,1.819
ITPL,5.11560861423221,1.566
Ibbaluru,5.252560861423221,1.602
Indian Air Force,5.186044007490636,1.671
Indian Express,7.998806179775281,2.59
Jakkur Aerodrum,5.4705898876404495,1.674
Jalahalli Cross,6.844779962546816,2.123
Jalli Machine,5.0603651685393265,1.54
Janapriya Apartment,5.88686329588015,1.778
KH Road,5.302008426966292,1.609
KR Circle,6.6226076779026215,2.025
KR Market,7.758497191011236,2.497
KR Market (Kalasipalya),7.13692883895131,2.198
KR Pura Railway Station,5.875917602996254,1.881
Kadubisanahalli,5.0713436329588015,1.587
Kadugodi Bridge,4.868375468164794,1.486
Kalyananagara,5.583927902621723,1.739
Kasthurinagara,4.694068352059926,1.487
Kempegowda Bus Station,16.42246722846442,5.0
Kengeri Bus Station,5.441198501872659,1.709
Kodigehalli Gate,6.022846441947565,1.859
Kogilu Cross,6.936793071161048,2.07
Konappana Agarhara,5.115931647940075,1.652
Koramangala Water Tank,5.337373595505618,1.638
Kottigepalya,5.404147940074907,1.712
Krishnaraja Pura Govt Hospital,5.301502808988764,1.632
Kudlu Gate,5.127897940074907,1.61
Kundalahalli Gate,5.196114232209737,1.573
Kuvempu Circle,4.779550561797754,1.517
Lakkasandra,6.182406367041199,1.938
Lalbagh Hopcoms,5.294077715355805,1.639
Lalbagh Main Gate,5.392373595505618,1.702
MEI Factory,5.159419475655431,1.654
MICO Layout BTM,4.769887640449438,1.449
Madivala,5.455884831460675,1.696
Magadi Road TollGate,5.373937265917603,1.691
Mahadevapura Ring Road,4.824588014981273,1.479
Maharani College,7.617607677902622,2.433
Makkala Koota,6.369555243445693,1.918
Malleshwara 18th Cross,5.510884831460674,1.656
Malleshwara Circle,6.32060861423221,2.019
Marathahalli Bridge,5.372593632958802,1.641
Mariyappanapalya,4.925407303370786,1.573
Maruthi Nagara,5.149784644194757,1.618
Mekhri Circle,6.778300561797753,2.12
Military Dairy Farm (Esteem Mall),7.2688061797752805,2.196
Mother Dairy Cross Yalahanka,4.874592696629213,1.489
Multiplex Marathahalli,4.870196629213483,1.519
Munnekolalu Cross (Spice Garden),5.173918539325842,1.554
Mysore Bank,6.733651685393259,2.025
Mysore Road Bus Station,5.419302434456928,1.669
Mysore Road Metro Station,5.589250936329588,1.755
Mysore Road TollGate,5.502654494382022,1.706
NES Office,5.978862359550562,1.884
Nagawara Junction,5.80623595505618,1.787
Navarang Theatre,5.046844569288389,1.571
Nayandahalli,5.260800561797753,1.68
New Guddadahalli,5.5470084269662925,1.708
New Horizon College,4.712134831460674,1.511
Nimhans Hospital,6.131343632958801,1.936
Okalipura,5.433768726591761,1.651
Palace Ground,5.65307116104869,1.74
Pattandur Agrahara Gate,5.0519897003745315,1.562
