stop_name,avg_delay,p75_delay,factor,trip_count,route_count,lat,lon
10th Cross Magadi Road,6.512,8.67,1.313,911,126,12.976,77.557
10th Stone NICE Road,5.108,6.572,1.047,150,13,12.873,77.499
12th Block Nagarabhavi,5.522,7.312,1.118,352,44,12.96,77.514
14th Main HSR Layout,6.688,9.128,1.379,1286,67,12.916,77.635
18th Main Jayanagara,5.233,6.838,1.05,175,7,12.923,77.59
1st Block Rajajinagara,6.203,7.91,1.238,806,42,13.005,77.549
1st Block Vidyaranyapura,5.673,7.74,1.163,531,39,13.07,77.555
1st Block Vishweshwaraiah Layout,4.962,6.492,1.021,65,6,12.937,77.479
1st Cross Magadi Road,6.539,8.78,1.302,872,125,12.976,77.563
1st Stage 3rd Block Nagarabhavi (Nayandahalli),5.021,6.71,1.049,163,10,12.953,77.52
1st Stage 3rd Block Nagarabhavi (Summanahalli),5.27,7.09,1.056,173,18,12.953,77.52
3rd Block Jayanagara,6.36,8.192,1.297,977,66,12.932,77.584
3rd Block Jn Banashankari 6th Phase,5.21,6.95,1.024,81,4,12.878,77.517
3rd Block Vidyaranyapura,5.801,7.6,1.161,528,37,13.072,77.556
4th Stone NICE Road,5.089,6.772,1.018,64,2,13.009,77.475
4th T Block Jayanagara,5.221,6.7,1.053,181,8,12.923,77.594
5th Block Jayanagara,5.567,7.43,1.142,479,26,12.917,77.584
5th Cross Magadi Road,6.652,9.03,1.318,924,128,12.976,77.561
5th Phase Yelahanka New Town,5.179,6.742,1.081,277,13,13.106,77.573
5th Stone NICE Road,5.083,6.76,1.018,64,2,12.971,77.471
6th Block Rajajinagara,5.991,7.873,1.212,703,45,12.98,77.554
7th Cross Wilson Garden,6.545,8.482,1.365,1041,157,12.947,77.594
80 feet Road Kalyananagara,5.821,7.845,1.147,429,59,13.026,77.641
80ft Road MS Ramaiah College,5.273,7.262,1.077,285,2,13.028,77.576
8th Main 3rd Cross  Junction,5.116,6.812,1.03,86,12,13.022,77.637
8th Main Kamalanagara,5.621,7.505,1.129,443,20,12.992,77.539
8th Mile Dasarahalli,8.272,10.725,1.682,2046,245,13.046,77.508
9th Block Jayanagara (40th Cross),5.35,6.985,1.052,177,8,12.92,77.592
9th Stone NICE Road,5.016,6.672,1.018,64,2,12.888,77.485
A G Export Garments Nelamangala,5.145,7.015,1.04,95,26,13.12,77.392
AECS Layout Cross,5.928,7.78,1.231,795,35,12.965,77.718
AGS Layout Arehalli,5.309,7.182,1.061,212,8,12.913,77.537
AGS Layout Cross,5.208,6.87,1.066,222,12,12.913,77.541
AMC College,5.723,7.655,1.164,467,71,12.829,77.588
APMC Yard,5.132,6.87,1.031,69,22,13.105,77.444
APS College,5.457,7.322,1.088,238,44,12.783,77.5
ASC Centre,5.319,6.94,1.052,159,18,12.962,77.619
Abbigere,5.274,7.05,1.039,107,19,13.077,77.526
Abbigere Cross,5.193,6.873,1.045,125,21,13.071,77.53
Abbigere Dinne,5.21,7.17,1.052,162,15,13.071,77.528
Abbigere Gate,5.317,7.27,1.073,251,11,13.072,77.524
Acharya College,5.334,7.2,1.119,413,16,13.002,77.488
Adakamaranahalli Cross (Magadi Road),5.153,6.94,1.021,57,11,12.954,77.309
Adakimaranahalli,6.108,8.24,1.236,698,89,13.071,77.445
Adarshanagara,5.19,6.79,1.032,76,20,13.076,77.424
Addiganahalli,5.06,6.972,1.042,78,37,13.173,77.569
Aditya Bakery,5.119,6.76,1.033,109,7,12.904,77.511
Adugodi,5.388,7.15,1.094,314,19,12.944,77.608
Adugodi Police Station,5.309,7.32,1.097,323,20,12.939,77.61
Aduru,5.243,6.87,1.028,73,16,12.733,77.654
Agalakote,4.965,6.71,1.018,54,7,13.213,77.736
Agara,5.083,6.665,1.019,50,10,12.845,77.487
Agara Cross,5.582,7.533,1.141,363,79,12.849,77.522
Agara Junction,8.133,11.16,1.631,2094,132,12.925,77.649
Agrahara Dasarahalli,6.786,8.882,1.368,1089,139,12.979,77.543
Air Lines Dhaba Gate,5.229,7.15,1.024,85,2,13.222,77.741
Airport Trumpet,5.489,7.322,1.117,361,38,13.199,77.658
Ajmeer Apartment Neeladri Road,4.962,6.682,1.022,67,8,12.842,77.647
Akkithimmanahalli,4.917,6.453,1.031,104,6,12.962,77.597
Akkithimmanahalli 1,5.283,6.96,1.036,120,7,12.962,77.596
Akshayanagara,5.142,6.873,1.024,70,10,13.021,77.684
Aladamara Laggere,5.273,6.892,1.087,291,18,13.013,77.521
Aladamara Papareddypalya,5.507,7.482,1.102,312,34,12.975,77.509
Alisda,5.525,7.14,1.132,405,44,13.034,77.541
Allalasandra Gate,8.434,11.155,1.71,2153,245,13.087,77.594
Ambedkar Institute of Technology,5.744,7.61,1.189,600,53,12.963,77.505
Ambedkar Nagara,6.072,8.002,1.173,530,57,12.899,77.713
Amma Ashrama Cross,5.358,7.102,1.079,264,16,12.95,77.489
Amruth Sweets,5.117,6.902,1.04,146,2,12.909,77.642
Amrutha Engineering College,4.984,6.703,1.021,55,12,12.896,77.675
Amruthahalli,5.224,7.042,1.046,116,26,13.066,77.601
Ananda Ashrama (BGT Rd),5.962,7.72,1.196,577,76,12.928,77.601
Ananda Rao Circle,6.868,9.2,1.373,1113,137,12.981,77.575
Anandapura,5.255,6.84,1.024,70,10,13.024,77.693
Ananthapura Gate,5.644,7.842,1.132,319,84,13.115,77.579
Anchepalya,7.16,9.222,1.46,1213,244,13.055,77.479
Andhrahalli,5.48,7.38,1.122,417,19,13.008,77.485
Andhrahalli Gate,5.123,6.61,1.042,120,18,13.115,77.745
Andhrahalli Govt School,5.411,7.315,1.121,416,18,13.01,77.483
Anekal,5.728,7.8,1.136,437,36,12.709,77.696
Anekal Circle,5.508,7.252,1.108,351,26,12.717,77.7
Anekal Road Junction,5.21,7.022,1.03,82,14,12.768,77.77
Anepalya,5.208,6.812,1.05,158,15,12.953,77.605
